match_id,home_team,away_team,st_home,goals_home,corners_home,st_away,goals_away,corners_away,st_avg,corners_avg,goals_avg,st_kpp,corner_kpp,goals_kpp,which_team,st_kpp_home,st_kpp_away,goals_kpp_home,goals_kpp_away,corner_kpp_home,corner_kpp_away,modified_result,final_result,home_kpp_score,away_kpp_score,normalized_home_kpp_score,normalized_away_kpp_score
51,Chelsea,Aston Villa,0.888888889,1,0.818181818,0.111111111,0,0.181818182,0.111111111,0.181818182,0,0.490476191,0.420512821,0.555555556,Aston Villa,0.561616162,0.490476191,0.611111111,0.555555556,0.320454546,0.420512821,1,1,1.493181819,1.466544568,0.504499951603128,0.495500048396872
52,Crystal Palace,Leicester,0.857142857,1,0.5,0.142857143,0,0.5,0.142857143,0.5,0,0.344444444,0.284722222,0.708333333,Leicester,0.48989899,0.344444444,0.533333333,0.708333333,0.297222222,0.284722222,1,1,1.320454545,1.337499999,0.496793501597219,0.503206498402781
53,Hull,Man City,0.454545455,0.333333333,0.272727273,0.545454546,0.666666667,0.727272727,0.545454546,0.727272727,0.666666667,0.579365079,0.869444444,0.333333333,Man City,0.442857143,0.579365079,0.444444444,0.333333333,0.421367521,0.869444444,0,-1,1.308669108,1.782142856,0.423406251574869,0.576593748425131
54,Liverpool,Everton,0.615384615,0.5,0.8,0.384615385,0.5,0.2,0.615384615,0.8,0.5,0.601851852,0.418376068,0.416666667,Liverpool,0.601851852,0.555555556,0.416666667,0.611111111,0.418376068,0.466666667,0,0,1.436894587,1.633333334,0.468009093778286,0.531990906221714
55,Man United,West Ham,0.428571429,0.666666667,0.411764706,0.571428571,0.333333333,0.588235294,0.428571429,0.411764706,0.666666667,0.572727273,0.694444445,0.625,Man United,0.572727273,0.394444444,0.625,0.5,0.694444445,0.511460761,1,1,1.892171718,1.405905205,0.573719704596472,0.426280295403528
56,Southampton,QPR,0.818181818,0.666666667,0.666666667,0.181818182,0.333333333,0.333333333,0.181818182,0.333333333,0.333333333,0.397306397,0.51969697,0.5,QPR,0.701010101,0.397306397,0.916666667,0.5,0.661616162,0.51969697,1,1,2.27929293,1.417003367,0.616642375734307,0.383357624265693
57,Sunderland,Swansea,0.75,0.5,0.909090909,0.25,0.5,0.090909091,0.25,0.090909091,0.5,0.438383838,0.232323232,0.444444444,Swansea,0.396103896,0.438383838,0.333333333,0.444444444,0.422222222,0.232323232,0,0,1.151659451,1.115151514,0.50805270875333,0.49194729124667
58,West Brom,Burnley,0.75,1,0.833333333,0.25,0,0.166666667,0.25,0.166666667,0,0.533333333,0.555555556,0.5,Burnley,0.4,0.533333333,0.333333333,0.5,0.779166667,0.555555556,1,1,1.5125,1.588888889,0.487684729046568,0.512315270953433
59,Stoke,Newcastle,0.75,1,0.166666667,0.25,0,0.833333333,0.75,0.166666667,1,0.581481482,0.390025253,0.5,Stoke,0.581481482,0.475757576,0.5,0.333333333,0.390025253,0.633333333,1,1,1.471506735,1.442424242,0.504990250838052,0.495009749161948
60,Aston Villa,Man City,0.125,0,0,0.875,1,1,0.875,1,1,0.594516595,0.867424242,0.555555556,Man City,0.337037037,0.594516595,0.333333333,0.555555556,0.381118881,0.867424242,0,-1,1.051489251,2.017496393,0.342617846080742,0.657382153919258
